Shipment_ID,Region,Transport_Mode,Shipment_Volume_kg,Distance_km,Delivery_Time_days,Delay_days,Transport_Cost,Fuel_Cost,Orders,On_Time
S0165,South,Road,82,1473,4.64,0,9075.17,2458.35,26,True
S0166,West,Air,291,1335,2.99,1,62070.12,19850.07,53,True
S0167,South,Air,23,142,1.82,0,554.32,170.6,18,True
S0168,North,Road,294,387,3.64,3,8538.18,2895.17,37,False
S0169,South,Road,248,77,1.14,0,1327.99,363.21,40,True
S0170,North,Rail,243,523,6.22,1,5714.91,1450.02,53,False
S0171,North,Road,346,224,2.57,1,5806.42,2327.14,51,True
S0172,North,Air,270,1292,3.82,1,55958.2,22565.28,35,True
S0173,West,Road,369,964,3.66,3,26750.24,10313.05,25,False
S0174,East,Road,386,1765,4.88,0,51097.67,21216.0,28,True
S0175,East,Sea,461,1361,11.07,0,17587.69,6400.13,31,False
S0176,South,Road,403,1120,5.29,0,33855.54,12466.52,19,True
S0177,East,Road,268,941,4.7,0,18897.87,6950.07,45,True
S0178,North,Road,256,145,1.34,0,2697.41,824.69,18,True
S0179,West,Road,133,172,3.6,0,1703.62,511.8,47,True
S0180,East,Road,307,1128,3.5,2,25912.51,6551.97,53,False
